,,,,,
,City,Hotel,Num_reviews,Chain,Star
,Houston,JW Marriott Houston Downtown,84,Yes,4
,Houston,La Quinta Inn & Suites by Wyndham Houston - Westchase,6,,
,Houston,La Quinta Inn & Suites by Wyndham Houston Galleria Area,83,Yes,2
,Houston,La Quinta Inn & Suites by Wyndham Houston Willowbrook,15,Yes,2
,Houston,La Quinta Inn by Wyndham Houston Cy-Fair,29,Yes,2
,Houston,La Quinta Inn by Wyndham Houston Greenway Plaza Medical Area,16,Yes,2
,Houston,"Magnolia Hotel Houston, A Tribute Portfolio Hotel",70,Yes,4
,Houston,Marriott Marquis Houston,86,Yes,4
,Houston,Red Roof Inn Houston - Westchase,93,Yes,2
,Houston,Red Roof PLUS+ & Suites Houston – IAH Airport SW,12,Yes,2
,Houston,Royal Sonesta Houston Galleria,100,Yes,4
,Houston,SureStay Plus By Best Western Hotel Houston Medical Center,6,,
,Houston,"The Houstonian Hotel, Club & Spa",40,No,4
,Houston,The Lancaster Hotel,43,No,4
,Houston,The Moran CITYCENTRE,63,No,4
,Houston,The Post Oak Hotel at Uptown Houston,20,No,5
,Houston,The Westin Houston Memorial City,76,Yes,4
,Houston,The Westin Oaks Houston At The Galleria,97,Yes,4
,Houston,The Whitehall Houston,71,Yes,4
,Houston,Towneplace Suites Houston Brookhollow,14,Yes,2
,Houston,Wyndham Houston - Medical Center Hotel and Suites,76,Yes,3
,Boston,Abigayle's Bed and Breakfast,6,,
,Boston,AC Hotel by Marriott Boston Cleveland Circle,21,Yes,3
,Boston,AC Hotel by Marriott Boston Downtown,35,Yes,4
,Boston,Aloft Boston Seaport District,98,Yes,3
,Boston,Boston Harbor Hotel,97,No,5
,Boston,Boston Marriott Long Wharf,97,Yes,4
,Boston,Boston Park Plaza,97,Yes,4
,Boston,Boston Yacht Haven Inn & Marina,4,,
,Boston,Cambria Hotel Boston Downtown,12,Yes,3
,Boston,citizenM Boston North Station,52,Yes,4
,Boston,Clarendon Square,6,,
,Boston,Club Quarters Hotel in Boston,100,Yes,3
,Boston,Comfort Inn - Boston,73,Yes,3
,Boston,Courtyard Boston Copley Square,85,Yes,3
,Boston,Courtyard Boston Downtown,91,Yes,3
,Boston,Courtyard Boston Downtown/North Station,32,Yes,3
,Boston,Courtyard by Marriott Boston Logan Airport,96,Yes,3
,Boston,DoubleTree by Hilton Hotel Boston - Downtown,90,Yes,3
,Boston,DoubleTree by Hilton Hotel Boston Bayside,99,Yes,3
,Boston,DoubleTree Suites by Hilton Boston - Cambridge,100,Yes,3
,Boston,Element Boston Seaport District,42,Yes,3
,Boston,Embassy Suites by Hilton Boston at Logan Airport,97,Yes,3
,Boston,enVision Hotel Boston - Longwood,69,Yes,3
,Boston,"Fairmont Copley Plaza, Boston",59,Yes,4
,Boston,Four Seasons Hotel Boston,77,Yes,5
,Boston,Hampton Inn & Suites Boston Crosstown Center,100,Yes,3
,Boston,Hilton Garden Inn Boston Logan Airport,77,Yes,3
,Boston,Holiday Inn Express Boston,95,Yes,3
,Boston,Hotel Commonwealth,100,No,4
,Boston,Hotel Indigo Boston Garden,24,Yes,3
,Boston,Hyatt Centric Faneuil Hall Boston,24,Yes,4
,Boston,InterContinental Boston,98,Yes,4
,Boston,Loews Boston Hotel,95,Yes,4
,Boston,"Mandarin Oriental, Boston",44,Yes,5
,Boston,"Marriott Vacation Club Pulse at Custom House, Boston",24,Yes,3
,Boston,Newbury Guest House,23,No,3
,Boston,No. 284,4,,
,Boston,Residence Inn Boston Downtown/Seaport,23,Yes,3
,Boston,Residence Inn Boston Harbor On Tudor Wharf,98,Yes,3
,Boston,Residence Inn by Marriott Boston Back Bay/Fenway,99,Yes,3
,Boston,Revere Hotel Boston Common,99,No,4
,Boston,Seaport Hotel,89,No,4
,Boston,Studio Allston Hotel,64,No,2
,Boston,The Boxer Boston,73,No,4
,Boston,The Colonnade Hotel,46,No,4
,Boston,The Eliot Hotel,78,No,4
,Boston,The Godfrey Hotel Boston,51,Yes,4
,Boston,The Inn At Longwood Medical,2,,
,Boston,The Inn At St Botolph,25,Yes,3
,Boston,"The Langham, Boston",32,Yes,4
,Boston,The Revolution Hotel,27,No,2
,Boston,The Verb Hotel,99,No,3
,Boston,The Whitney Hotel Boston,2,,
,Boston,Wyndham Boston Beacon Hill,53,Yes,3
,Boston,XV Beacon,7,,
,Chicago,21c Museum Hotel Chicago - MGallery,1,,
,Chicago,Best Western Grant Park Hotel,75,Yes,2
,Chicago,Best Western River North Hotel,99,Yes,3
,Chicago,Central Loop Hotel,29,No,3
,Chicago,Chicago South Loop Hotel,43,No,3
,Chicago,City Suites Hotel,25,No,3
,Chicago,Claridge House Chicago,45,Yes,4
,Chicago,"Club Quarters Hotel, Wacker at Michigan",24,Yes,3
,Chicago,Embassy Suites by Hilton Chicago Downtown,99,Yes,3
,Chicago,Eurostars Magnificent Mile,22,Yes,4
,Chicago,Freehand Chicago,70,Yes,3
,Chicago,Hampton Inn & Suites Chicago - Downtown,100,Yes,3
,Chicago,Hilton Chicago/Magnificent Mile Suites,99,Yes,4
,Chicago,Hilton Garden Inn Chicago Downtown South Loop,10,Yes,3
,Chicago,Home2 Suites by Hilton Chicago River North,18,Yes,3
,Chicago,Homewood Suites by Hilton Chicago Downtown South Loop,13,Yes,3
,Chicago,Homewood Suites by Hilton Chicago-Downtown,100,Yes,3
,Chicago,Hotel Chicago West Loop,72,No,3
,Chicago,Hotel Essex,19,No,4
,Chicago,Hotel Julian,27,No,4
,Chicago,Hotel Versey Days Inn by Wyndham Chicago,84,Yes,3
,Chicago,Hyatt House Chicago / West Loop - Fulton Market,26,Yes,2
,Chicago,Hyatt Place Chicago Midway Airport,45,Yes,3
,Chicago,Hyatt Place Chicago/Downtown - The Loop,99,Yes,3
,Chicago,Hyatt Regency Chicago,20,Yes,4
,Chicago,Ivy Hotel,96,No,4
,Chicago,Kimpton Hotel Allegro,89,Yes,4
,Chicago,Kimpton Hotel Palomar Chicago,88,Yes,4
,Chicago,Kinzie Hotel,98,No,4
,Chicago,La Quinta Inn & Suites by Wyndham Chicago Downtown,60,Yes,3
,Chicago,Loews Chicago Hotel,97,Yes,4
,Chicago,"LondonHouse Chicago, Curio Collection by Hilton",47,Yes,4
,Chicago,Majestic Hotel,99,No,3
,Chicago,Millennium Knickerbocker Chicago,99,No,4
,Chicago,Ohio House Motel,99,No,2
,Chicago,Radisson Blu Aqua Hotel,96,Yes,4
,Chicago,Raffaello Chicago,74,No,4
,Chicago,Renaissance Chicago O'Hare Suites Hotel,62,Yes,4
,Chicago,River Hotel,42,No,3
,Chicago,Royal Sonesta Chicago Riverfront,97,Yes,4
,Chicago,Silversmith Hotel Chicago Downtown,80,No,4
,Chicago,Sofitel Chicago Magnificent Mile,85,Yes,5
,Chicago,Sophy Hyde Park,24,No,4
,Chicago,"Staypineapple, An Iconic Hotel, The Loop Chicago",100,Yes,4
,Chicago,Swissotel Chicago,63,Yes,4
,Chicago,The Congress Plaza Hotel & Convention Center,51,Yes,3
,Chicago,The Godfrey Hotel Chicago,79,Yes,4
,Chicago,The Hotel at Midtown,13,No,4
,Chicago,"The Langham, Chicago",68,Yes,5
,Chicago,The Peninsula Chicago,66,Yes,5
,Chicago,"The Ritz-Carlton, Chicago",81,Yes,5
,Chicago,The St. Clair Hotel - Magnificent Mile,33,Yes,2
,Chicago,The Talbott Hotel,48,No,4
,Chicago,The Whitehall Hotel,71,No,4
,Chicago,The Willows,17,No,3
,Chicago,Thompson Chicago,57,Yes,4
,Chicago,Travelodge by Wyndham Downtown Chicago,59,Yes,2
,Chicago,Trump International Hotel & Tower Chicago,59,Yes,5
,Chicago,Viceroy Chicago,58,Yes,5
,Chicago,Virgin Hotels Chicago,89,Yes,4
,Chicago,W Chicago - Lakeshore,73,Yes,4
,Chicago,Waldorf Astoria Chicago,74,Yes,5
